Player,Country,Time Period,Matches,Played,Not Outs,Runs,Highest Score,Batting Average,Balls Faced,Strike Rate,Centuries,Fifties,Ducks,Fours,Sixes,Role,Overs,Maiden Overs,Wickets,Best Figure,Bowling Average,Economy Rate,Four Wickets,Five Wickets,Dismissals,Catches,Stumpings,Maximum Dismissals
Mahmudullah ,Bangladesh,2008-2018,20,19,6.0,328.0,74.0,25.23,525.0,62.47,0.0,1.0,1.0,19.0,2.0,Batsman,,,,,,,,,,,,
Saeed Anwar ,Pakistan,1995-2000,9,9,0.0,320.0,90.0,35.55,412.0,77.66,0.0,2.0,1.0,36.0,3.0,Batsman,,,,,,,,,,,,
Mohammad Ashraful ,Bangladesh,2004-2010,12,12,0.0,316.0,109.0,26.33,504.0,62.69,1.0,1.0,1.0,29.0,2.0,Batsman,,,,,,,,,,,,
Yuvraj Singh ,India,2004-2008,11,10,2.0,312.0,50.0,39.0,354.0,88.13,0.0,1.0,1.0,24.0,7.0,Batsman,,,,,,,,,,,,
Mohammad Shahzad ,Afghanistan,2014-2018,9,9,0.0,308.0,124.0,34.22,377.0,81.69,1.0,1.0,0.0,32.0,10.0,Batsman,,,,,,,,,,,,
WU Tharanga ,Sri Lanka,2010-2018,9,9,0.0,304.0,57.0,33.77,379.0,80.21,0.0,2.0,0.0,32.0,3.0,Batsman,,,,,,,,,,,,
KD Karthik ,India,2010-2018,12,11,4.0,302.0,66.0,43.14,410.0,73.65,0.0,1.0,0.0,30.0,2.0,Batsman,,,,,,,,,,,,
Nasir Jamshed ,Pakistan,2008-2012,6,6,2.0,298.0,112.0,74.5,300.0,99.33,1.0,3.0,0.0,34.0,4.0,Batsman,,,,,,,,,,,,
AP Gurusinha ,Sri Lanka,1986-1995,10,10,1.0,281.0,85.0,31.22,440.0,63.86,0.0,1.0,1.0,6.0,4.0,Batsman,,,,,,,,,,,,
Asghar Afghan ,Afghanistan,2014-2018,9,9,1.0,277.0,90.0,34.62,360.0,76.94,0.0,2.0,1.0,18.0,8.0,Batsman,,,,,,,,,,,,
RS Mahanama ,Sri Lanka,1986-1997,16,14,1.0,273.0,55.0,21.0,491.0,55.6,0.0,1.0,1.0,14.0,1.0,Batsman,,,,,,,,,,,,
Hashmatullah Shahidi ,Afghanistan,2018-2018,5,5,1.0,263.0,97.0,65.75,364.0,72.25,0.0,3.0,1.0,17.0,0.0,Batsman,,,,,,,,,,,,
AT Rayudu ,India,2014-2018,10,9,3.0,260.0,60.0,43.33,318.0,81.76,0.0,3.0,0.0,17.0,7.0,Batsman,,,,,,,,,,,,
Fawad Alam ,Pakistan,2008-2014,4,3,2.0,251.0,114.0,251.0,281.0,89.32,1.0,2.0,0.0,15.0,5.0,Batsman,,,,,,,,,,,,
Javed Omar ,Bangladesh,1995-2004,7,7,1.0,250.0,85.0,41.66,447.0,55.92,0.0,3.0,0.0,16.0,1.0,Batsman,,,,,,,,,,,,
V Kohli ,India,2016-2022,10,9,4.0,429.0,122.0,85.80,325.0,132.0,1.0,3.0,1.0,40.0,11.0,Batsman,,,,,,,,,,,,
Mohammad Rizwan ,Pakistan,2022-2022,6,6,1.0,281.0,78.0,56.20,239.0,117.57,0.0,3.0,0.0,21.0,6.0,Batsman,,,,,,,,,,,,
RG Sharma ,India,2016-2022,9,9,0.0,271.0,83.0,30.11,192.0,141.14,0.0,2.0,1.0,27.0,12.0,Batsman,,,,,,,,,,,,
Babar Hayat ,Hong Kong,2016-2022,5,5,0.0,235.0,122.0,47.00,160.0,146.87,1.0,1.0,1.0,22.0,10.0,Batsman,,,,,,,,,,,,
Ibrahim Zadran ,Afghanistan,2022-2022,5,5,2.0,196.0,64.0,65.33,188.0,104.25,0.0,1.0,0.0,14.0,4.0,Batsman,,,,,,,,,,,,
PBB Rajapaksa ,Sri Lanka,2022-2022,6,6,2.0,191.0,71.0,47.75,128.0,149.21,0.0,1.0,0.0,15.0,9.0,Batsman,,,,,,,,,,,,
Sabbir Rahman ,Bangladesh,2016-2022,6,6,1.0,181.0,80.0,36.20,148.0,122.29,0.0,1.0,0.0,16.0,5.0,Batsman,,,,,,,,,,,,
Muhammad Usman ,UAE,2016-2016,7,7,1.0,176.0,46.0,29.33,149.0,118.12,0.0,0.0,0.0,21.0,5.0,Batsman,,,,,,,,,,,,
Najibullah Zadran ,Afghanistan,2016-2022,8,8,3.0,176.0,60.0,35.20,112.0,157.14,0.0,1.0,1.0,6.0,13.0,Batsman,,,,,,,,,,,,
P Nissanka ,Sri Lanka,2022-2022,6,6,1.0,173.0,55.0,34.60,150.0,115.33,0.0,2.0,0.0,15.0,5.0,Batsman,,,,,,,,,,,,
Mahmudullah ,Bangladesh,2016-2022,7,7,4.0,173.0,36.0,57.66,122.0,141.8,0.0,0.0,0.0,10.0,7.0,Batsman,,,,,,,,,,,,
BKG Mendis ,Sri Lanka,2022-2022,6,6,0.0,155.0,60.0,25.83,99.0,156.56,0.0,2.0,2.0,10.0,9.0,Batsman,,,,,,,,,,,,
Rahmanullah Gurbaz ,Afghanistan,2022-2022,5,5,0.0,152.0,84.0,30.40,93.0,163.44,0.0,1.0,1.0,8.0,12.0,Batsman,,,,,,,,,,,,
Shaiman Anwar ,UAE,2016-2016,7,7,1.0,151.0,46.0,25.16,144.0,104.86,0.0,0.0,0.0,15.0,4.0,Batsman,,,,,,,,,,,,
LD Chandimal ,Sri Lanka,2016-2016,4,4,0.0,149.0,58.0,37.25,136.0,109.55,0.0,2.0,0.0,19.0,2.0,Batsman,,,,,,,,,,,,
SA Yadav ,India,2022-2022,5,5,1.0,139.0,68.0,34.75,85.0,163.52,0.0,1.0,0.0,10.0,8.0,Batsman,,,,,,,,,,,,
TM Dilshan ,Sri Lanka,2016-2016,4,4,1.0,132.0,75.0,44.00,109.0,121.1,0.0,1.0,0.0,18.0,1.0,Batsman,,,,,,,,,,,,
KL Rahul ,India,2022-2022,5,5,0.0,132.0,62.0,26.40,108.0,122.22,0.0,1.0,1.0,8.0,6.0,Batsman,,,,,,,,,,,,
MD Shanaka ,Sri Lanka,2016-2022,10,10,1.0,131.0,45.0,14.55,111.0,118.01,0.0,0.0,2.0,9.0,6.0,Batsman,,,,,,,,,,,,
Mohammad Shahzad ,UAE,2016-2016,7,7,1.0,129.0,52.0,21.50,107.0,120.56,0.0,1.0,1.0,10.0,4.0,Batsman,,,,,,,,,,,,
Rohan Mustafa ,UAE,2016-2016,7,7,0.0,122.0,77.0,17.42,107.0,114.01,0.0,1.0,1.0,13.0,6.0,Batsman,,,,,,,,,,,,
Sarfaraz Ahmed ,Pakistan,2016-2016,4,3,1.0,121.0,58.0,60.50,93.0,130.1,0.0,1.0,0.0,14.0,2.0,Batsman,,,,,,,,,,,,
Shoaib Malik ,Pakistan,2016-2016,4,4,2.0,121.0,63.0,60.50,108.0,112.03,0.0,1.0,0.0,13.0,4.0,Batsman,,,,,,,,,,,,
Zeeshan Maqsood ,Oman,2016-2016,3,3,0.0,115.0,52.0,38.33,97.0,118.55,0.0,1.0,0.0,11.0,4.0,Batsman,,,,,,,,,,,,
Shakib Al Hasan ,Bangladesh,2016-2022,7,7,0.0,112.0,32.0,16.00,115.0,97.39,0.0,0.0,0.0,12.0,0.0,Batsman,,,,,,,,,,,,
Umar Akmal ,Pakistan,2016-2016,4,4,1.0,105.0,50.0,35.00,98.0,107.14,0.0,1.0,0.0,6.0,5.0,Batsman,,,,,,,,,,,,
Iftikhar Ahmed ,Pakistan,2016-2022,7,6,2.0,105.0,32.0,26.25,104.0,100.96,0.0,0.0,0.0,6.0,3.0,Batsman,,,,,,,,,,,,
Fakhar Zaman ,Pakistan,2022-2022,6,6,0.0,96.0,53.0,16.00,93.0,103.22,0.0,1.0,1.0,9.0,2.0,Batsman,,,,,,,,,,,,
Soumya Sarkar ,Bangladesh,2016-2016,5,5,0.0,94.0,48.0,18.80,88.0,106.81,0.0,0.0,1.0,11.0,2.0,Batsman,,,,,,,,,,,,
Hazratullah Zazai ,Afghanistan,2022-2022,5,5,1.0,93.0,37.0,23.25,91.0,102.19,0.0,0.0,1.0,14.0,1.0,Batsman,,,,,,,,,,,,
Asghar Stanikzai ,Afghanistan,2016-2016,3,3,0.0,89.0,49.0,29.66,61.0,145.9,0.0,0.0,0.0,10.0,4.0,Batsman,,,,,,,,,,,,
Yuvraj Singh ,India,2016-2016,5,4,2.0,89.0,35.0,44.50,80.0,111.25,0.0,0.0,0.0,10.0,4.0,Batsman,,,,,,,,,,,,
Muhammad Kaleem ,UAE,2016-2016,7,7,0.0,89.0,50.0,12.71,104.0,85.57,0.0,1.0,1.0,9.0,3.0,Batsman,,,,,,,,,,,,
HH Pandya ,India,2016-2022,8,6,1.0,83.0,33.0,16.60,56.0,148.21,0.0,0.0,2.0,8.0,3.0,Batsman,,,,,,,,,,,,
Karim Sadiq ,Afghanistan,2016-2016,3,3,0.0,82.0,72.0,27.33,58.0,141.37,0.0,1.0,1.0,9.0,1.0,Batsman,,,,,,,,,,,,
S Dhawan ,India,2016-2016,4,4,1.0,79.0,60.0,26.33,71.0,111.26,0.0,1.0,0.0,12.0,1.0,Batsman,,,,,,,,,,,,
Mohammad Nawaz ,Pakistan,2016-2022,8,5,0.0,79.0,42.0,15.80,55.0,143.63,0.0,0.0,0.0,8.0,4.0,Batsman,,,,,,,,,,,,
Adnan Ilyas ,Oman,2016-2016,3,3,0.0,78.0,54.0,26.00,46.0,169.56,0.0,1.0,0.0,4.0,5.0,Batsman,,,,,,,,,,,,
Mosaddek Hossain ,Bangladesh,2022-2022,2,2,2.0,72.0,48.0,-,40.0,180.0,0.0,0.0,0.0,8.0,1.0,Batsman,,,,,,,,,,,,
Noor Ali Zadran ,Afghanistan,2016-2016,2,2,0.0,72.0,63.0,36.00,61.0,118.03,0.0,1.0,0.0,9.0,0.0,Batsman,,,,,,,,,,,,
Jatinder Singh ,Oman,2016-2016,3,3,0.0,69.0,42.0,23.00,68.0,101.47,0.0,0.0,0.0,7.0,1.0,Batsman,,,,,,,,,,,,
Babar Azam ,Pakistan,2022-2022,6,6,0.0,68.0,30.0,11.33,63.0,107.93,0.0,0.0,1.0,7.0,0.0,Batsman,,,,,,,,,,,,
C Karunaratne ,Sri Lanka,2022-2022,6,4,2.0,66.0,31.0,33.00,64.0,103.12,0.0,0.0,0.0,5.0,2.0,Batsman,,,,,,,,,,,,
PWH de Silva ,Sri Lanka,2022-2022,6,5,2.0,66.0,36.0,22.00,44.0,150.0,0.0,0.0,0.0,10.0,1.0,Batsman,,,,,,,,,,,,
KD Shah ,Hong Kong,2016-2022,5,5,0.0,65.0,30.0,13.00,60.0,108.33,0.0,0.0,2.0,8.0,2.0,Batsman,,,,,,,,,,,,
MD Gunathilaka ,Sri Lanka,2022-2022,6,6,0.0,63.0,33.0,10.50,58.0,108.62,0.0,0.0,1.0,7.0,2.0,Batsman,,,,,,,,,,,,
Anshuman Rath ,Hong Kong,2016-2016,3,3,0.0,62.0,41.0,20.66,70.0,88.57,0.0,0.0,0.0,7.0,0.0,Batsman,,,,,,,,,,,,
Amjad Javed ,UAE,2016-2016,7,7,2.0,61.0,27.0,12.20,66.0,92.42,0.0,0.0,1.0,4.0,3.0,Batsman,,,,,,,,,,,,
Khushdil Shah ,Pakistan,2022-2022,6,6,2.0,58.0,35.0,14.50,48.0,120.83,0.0,0.0,0.0,1.0,5.0,Batsman,,,,,,,,,,,,
M Muralidaran ,Sri Lanka,1995-2010,24,24,,865.0,,,,46.0,,,,,,Bowler,230.2,13.0,30.0,5/31,28.83,3.75,1.0,1.0,,,,
SL Malinga ,Sri Lanka,2004-2018,14,14,,596.0,,,,26.5,,,,,,Bowler,128.1,6.0,29.0,5/34,20.55,4.65,1.0,3.0,,,,
BAW Mendis ,Sri Lanka,2008-2014,8,8,,271.0,,,,15.6,,,,,,Bowler,68.0,5.0,26.0,6/13,10.42,3.98,2.0,2.0,,,,
Saeed Ajmal ,Pakistan,2008-2014,12,12,,485.0,,,,27.6,,,,,,Bowler,115.0,6.0,25.0,3/26,19.4,4.21,0.0,0.0,,,,
WPUJC Vaas ,Sri Lanka,1995-2008,19,19,,639.0,,,,39.7,,,,,,Bowler,152.2,20.0,23.0,3/30,27.78,4.19,0.0,0.0,,,,
IK Pathan ,India,2004-2012,12,12,,605.0,,,,29.7,,,,,,Bowler,109.1,1.0,22.0,4/32,27.5,5.54,1.0,0.0,,,,
ST Jayasuriya ,Sri Lanka,1990-2008,25,21,,667.0,,,,40.5,,,,,,Bowler,148.5,2.0,22.0,4/49,30.31,4.48,1.0,0.0,,,,
Abdur Razzak ,Bangladesh,2004-2014,18,18,,796.0,,,,46.4,,,,,,Bowler,170.2,10.0,22.0,3/17,36.18,4.67,0.0,0.0,,,,
RA Jadeja ,India,2010-2018,14,14,,505.0,,,,36.6,,,,,,Bowler,116.1,4.0,19.0,4/29,26.57,4.34,2.0,0.0,,,,
Shakib Al Hasan ,Bangladesh,2010-2018,13,13,,622.0,,,,40.3,,,,,,Bowler,127.4,5.0,19.0,4/42,32.73,4.87,1.0,0.0,,,,
Mashrafe Mortaza ,Bangladesh,2008-2018,19,19,,868.0,,,,50.8,,,,,,Bowler,152.3,7.0,18.0,2/25,48.22,5.69,0.0,0.0,,,,
Abdul Qadir ,Pakistan,1984-1988,8,8,,251.0,,,,24.4,,,,,,Bowler,69.2,8.0,17.0,3/15,14.76,3.62,0.0,0.0,,,,
SR Tendulkar ,India,1990-2012,23,15,,364.0,,,,26.9,,,,,,Bowler,76.2,0.0,17.0,3/21,21.41,4.76,0.0,0.0,,,,
Wasim Akram ,Pakistan,1986-2000,12,12,,297.0,,,,34.5,,,,,,Bowler,92.1,8.0,16.0,4/19,18.56,3.22,1.0,0.0,,,,
