Player,Country,Time Period,Matches,Played,Not Outs,Runs,Highest Score,Batting Average,Balls Faced,Strike Rate,Centuries,Fifties,Ducks,Fours,Sixes,Role,Overs,Maiden Overs,Wickets,Best Figure,Bowling Average,Economy Rate,Four Wickets,Five Wickets,Dismissals,Catches,Stumpings,Maximum Dismissals
HH Pandya ,India,2016-2022,8,8,,207.0,,,,16.0,,,,,,Bowler,29.3,1.0,11.0,3/8,18.81,7.01,0.0,0.0,,,,
PWH de Silva ,Sri Lanka,2022-2022,6,6,,170.0,,,,15.3,,,,,,Bowler,23.0,0.0,9.0,3/21,18.88,7.39,0.0,0.0,,,,
Shadab Khan ,Pakistan,2022-2022,5,5,,113.0,,,,14.0,,,,,,Bowler,18.4,0.0,8.0,4/8,14.12,6.05,1.0,0.0,,,,
Haris Rauf ,Pakistan,2022-2022,6,6,,153.0,,,,15.0,,,,,,Bowler,20.0,0.0,8.0,3/29,19.12,7.65,0.0,0.0,,,,
Mohammad Nawaz ,Pakistan,2016-2022,8,8,,174.0,,,,18.5,,,,,,Bowler,24.4,0.0,8.0,3/5,21.75,7.05,0.0,0.0,,,,
Mohammad Amir ,Pakistan,2016-2016,4,4,,81.0,,,,13.7,,,,,,Bowler,16.0,1.0,7.0,3/18,11.57,5.06,0.0,0.0,,,,
KMDN Kulasekara ,Sri Lanka,2016-2016,4,4,,95.0,,,,12.8,,,,,,Bowler,15.0,1.0,7.0,3/10,13.57,6.33,0.0,0.0,,,,
Mujeeb Ur Rahman ,Afghanistan,2022-2022,5,5,,111.0,,,,17.1,,,,,,Bowler,20.0,0.0,7.0,3/16,15.85,5.55,0.0,0.0,,,,
Naseem Shah ,Pakistan,2022-2022,5,5,,138.0,,,,15.4,,,,,,Bowler,18.0,0.0,7.0,2/7,19.71,7.66,0.0,0.0,,,,
C Karunaratne ,Sri Lanka,2022-2022,6,6,,145.0,,,,13.7,,,,,,Bowler,16.0,0.0,7.0,2/27,20.71,9.06,0.0,0.0,,,,
Mohammad Nabi ,Afghanistan,2016-2022,8,8,,210.0,,,,24.8,,,,,,Bowler,29.0,0.0,7.0,4/17,30.0,7.24,1.0,0.0,,,,
PM Liyanagamage ,Sri Lanka,2022-2022,2,2,,55.0,,,,6.1,,,,,,Bowler,6.1,0.0,6.0,4/34,9.16,8.91,1.0,0.0,,,,
JJ Bumrah ,India,2016-2016,5,5,,94.0,,,,18.0,,,,,,Bowler,18.0,2.0,6.0,2/27,15.66,5.22,0.0,0.0,,,,
A Nehra ,India,2016-2016,4,4,,99.0,,,,14.0,,,,,,Bowler,14.0,0.0,6.0,3/23,16.5,7.07,0.0,0.0,,,,
R Ashwin ,India,2016-2022,6,6,,143.0,,,,22.0,,,,,,Bowler,22.0,0.0,6.0,2/26,23.83,6.5,0.0,0.0,,,,
Rohan Mustafa ,UAE,2016-2016,7,7,,146.0,,,,20.8,,,,,,Bowler,20.5,0.0,6.0,3/19,24.33,7.0,0.0,0.0,,,,
Fazalhaq Farooqi ,Afghanistan,2022-2022,5,5,,152.0,,,,18.1,,,,,,Bowler,18.1,1.0,6.0,3/11,25.33,8.36,0.0,0.0,,,,
Shakib Al Hasan ,Bangladesh,2016-2022,7,7,,152.0,,,,24.6,,,,,,Bowler,24.4,0.0,6.0,2/20,25.33,6.16,0.0,0.0,,,,
D Madushanka ,Sri Lanka,2022-2022,6,6,,155.0,,,,20.0,,,,,,Bowler,20.0,0.0,6.0,3/24,25.83,7.75,0.0,0.0,,,,
M Theekshana ,Sri Lanka,2022-2022,6,6,,162.0,,,,24.0,,,,,,Bowler,24.0,0.0,6.0,2/21,27.0,6.75,0.0,0.0,,,,
Mohammad Irfan ,Pakistan,2016-2016,4,4,,87.0,,,,19.2,,,,,,Bowler,16.0,0.0,5.0,2/18,17.4,5.43,0.0,0.0,,,,
Fareed Ahmad ,Afghanistan,2022-2022,2,2,,88.0,,,,9.6,,,,,,Bowler,8.0,0.0,5.0,3/31,17.6,11.0,0.0,0.0,,,,
Mashrafe Mortaza ,Bangladesh,2016-2016,5,5,,114.0,,,,19.2,,,,,,Bowler,16.0,0.0,5.0,2/12,22.8,7.12,0.0,0.0,,,,
Taskin Ahmed ,Bangladesh,2016-2022,7,7,,138.0,,,,27.6,,,,,,Bowler,23.0,1.0,5.0,2/24,27.6,6.0,0.0,0.0,,,,
Arshdeep Singh ,India,2022-2022,5,5,,151.0,,,,21.0,,,,,,Bowler,17.3,0.0,5.0,2/33,30.2,8.62,0.0,0.0,,,,
SL Malinga ,Sri Lanka,2016-2016,1,1,,26.0,,,,6.0,,,,,,Bowler,4.0,0.0,4.0,4/26,6.5,6.5,1.0,0.0,,,,
Mahmudullah ,Bangladesh,2016-2022,7,3,,28.0,,,,9.0,,,,,,Bowler,6.0,0.0,4.0,2/5,7.0,4.66,0.0,0.0,,,,
Nadeem Ahmed ,Hong Kong,2016-2016,3,3,,77.0,,,,18.0,,,,,,Bowler,12.0,1.0,4.0,3/27,19.25,6.41,0.0,0.0,,,,
Aamir Kaleem ,Oman,2016-2016,3,3,,84.0,,,,15.0,,,,,,Bowler,10.0,0.0,4.0,4/36,21.0,8.4,1.0,0.0,,,,
Bilal Khan ,Oman,2016-2016,3,3,,91.0,,,,16.5,,,,,,Bowler,11.0,0.0,4.0,3/33,22.75,8.27,0.0,0.0,,,,
RA Jadeja ,India,2016-2022,6,6,,106.0,,,,27.0,,,,,,Bowler,18.0,0.0,4.0,2/11,26.5,5.88,0.0,0.0,,,,
YS Chahal ,India,2022-2022,4,4,,127.0,,,,24.0,,,,,,Bowler,16.0,0.0,4.0,3/34,31.75,7.93,0.0,0.0,,,,
Mohammad Hasnain ,Pakistan,2022-2022,4,4,,134.0,,,,22.5,,,,,,Bowler,15.0,0.0,4.0,2/21,33.5,8.93,0.0,0.0,,,,
Mustafizur Rahman ,Bangladesh,2016-2022,5,5,,134.0,,,,28.5,,,,,,Bowler,19.0,0.0,4.0,2/13,33.5,7.05,0.0,0.0,,,,
Mohammad Shahzad ,UAE,2016-2016,7,7,,156.0,,,,28.7,,,,,,Bowler,19.1,0.0,4.0,2/27,39.0,8.13,0.0,0.0,,,,
Aizaz Khan ,Hong Kong,2016-2022,5,5,,189.0,,,,26.2,,,,,,Bowler,17.3,0.0,4.0,3/38,47.25,10.8,0.0,0.0,,,,
MS Dhoni ,India,2008-2018,19,19,,,,,,,,,,,,Wicketkeeper,,,,,,,,,36.0,25.0,11.0,5.0
KC Sangakkara ,Sri Lanka,2004-2014,24,24,,,,,,,,,,,,Wicketkeeper,,,,,,,,,36.0,27.0,9.0,4.0
Moin Khan ,Pakistan,1995-2004,14,13,,,,,,,,,,,,Wicketkeeper,,,,,,,,,17.0,12.0,5.0,3.0
Mushfiqur Rahim ,Bangladesh,2008-2018,21,17,,,,,,,,,,,,Wicketkeeper,,,,,,,,,17.0,14.0,3.0,4.0
DSBP Kuruppu ,Sri Lanka,1984-1988,9,9,,,,,,,,,,,,Wicketkeeper,,,,,,,,,14.0,12.0,2.0,4.0
RS Kaluwitharana ,Sri Lanka,1995-2000,8,8,,,,,,,,,,,,Wicketkeeper,,,,,,,,,11.0,9.0,2.0,5.0
Khaled Mashud ,Bangladesh,1995-2004,14,14,,,,,,,,,,,,Wicketkeeper,,,,,,,,,11.0,8.0,3.0,3.0
Sarfaraz Ahmed ,Pakistan,2008-2018,13,13,,,,,,,,,,,,Wicketkeeper,,,,,,,,,10.0,8.0,2.0,3.0
Zulqarnain ,Pakistan,1986-1986,3,3,,,,,,,,,,,,Wicketkeeper,,,,,,,,,9.0,8.0,1.0,4.0
R Dravid ,India,1997-2004,13,5,,,,,,,,,,,,Wicketkeeper,,,,,,,,,7.0,5.0,2.0,2.0
NR Mongia ,India,1995-2000,5,5,,,,,,,,,,,,Wicketkeeper,,,,,,,,,7.0,7.0,0.0,3.0
Umar Akmal ,Pakistan,2010-2014,12,6,,,,,,,,,,,,Wicketkeeper,,,,,,,,,7.0,5.0,2.0,2.0
Amjad Ali ,UAE,2008-2008,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,5.0,4.0,1.0,3.0
Mohammad Shahzad ,Afghanistan,2014-2018,9,9,,,,,,,,,,,,Wicketkeeper,,,,,,,,,5.0,4.0,1.0,1.0
Litton Das ,Bangladesh,2018-2018,6,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,4.0,1.0,3.0,2.0
SS McKechnie ,Hong Kong,2018-2018,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,4.0,4.0,0.0,2.0
HP Tillakaratne ,Sri Lanka,1988-1995,9,3,,,,,,,,,,,,Wicketkeeper,,,,,,,,,4.0,3.0,1.0,2.0
Anamul Haque ,Bangladesh,2014-2014,4,4,,,,,,,,,,,,Wicketkeeper,,,,,,,,,4.0,4.0,0.0,3.0
KD Karthik ,India,2010-2018,12,4,,,,,,,,,,,,Wicketkeeper,,,,,,,,,4.0,3.0,1.0,2.0
Anil Dalpat ,Pakistan,1984-1984,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,2.0,1.0,2.0
SC Khanna ,India,1984-1984,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,1.0,2.0,2.0
Saleem Yousuf ,Pakistan,1988-1988,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,3.0,0.0,2.0
SKL de Silva ,Sri Lanka,1997-1997,3,3,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,1.0,2.0,2.0
Kamran Akmal ,Pakistan,2010-2010,3,3,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,3.0,0.0,1.0
SS Karim ,India,1997-2000,5,5,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,3.0,0.0,2.0
KS More ,India,1988-1991,5,5,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,3.0,0.0,2.0
TM Dilshan ,Sri Lanka,2000-2012,20,0,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,2.0,0.0,2.0
CI Dunusinghe ,Sri Lanka,1995-1995,1,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,1.0,1.0,2.0
TT Smart ,Hong Kong,2004-2004,2,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,2.0,0.0,2.0
JJ Atkinson ,Hong Kong,2008-2008,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,1.0,1.0,2.0
Hafizur Rahman ,Bangladesh,1986-1986,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,2.0,0.0,1.0
CS Pandit ,India,1988-1988,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,1.0,1.0,2.0
PA Patel ,India,2004-2004,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,2.0,0.0,1.0
MDKJ Perera ,Sri Lanka,2014-2018,7,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,2.0,0.0,2.0
Nasir Ahmed ,Bangladesh,1988-1990,5,5,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,1.0,1.0,1.0
Aamer Malik ,Pakistan,1988-1988,2,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,1.0,0.0,1.0,1.0
Javed Qadeer ,Pakistan,1995-1995,1,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,1.0,1.0,0.0,1.0
Abdul Rehman ,UAE,2004-2004,1,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,0.0,0.0,0.0,0.0
Asghar Ali ,UAE,2004-2004,2,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,0.0,0.0,0.0,0.0
Nasir Hameed ,Hong Kong,2004-2004,1,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,0.0,0.0,0.0,0.0
MS Dhoni ,India,2016-2016,5,5,,,,,,,,,,,,Wicketkeeper,,,,,,,,,7.0,6.0,1.0,3.0
SP Patil ,UAE,2016-2016,7,7,,,,,,,,,,,,Wicketkeeper,,,,,,,,,7.0,6.0,1.0,2.0
LD Chandimal ,Sri Lanka,2016-2016,4,3,,,,,,,,,,,,Wicketkeeper,,,,,,,,,4.0,4.0,0.0,2.0
Sultan Ahmed ,Oman,2016-2016,3,3,,,,,,,,,,,,Wicketkeeper,,,,,,,,,4.0,2.0,2.0,3.0
KD Karthik ,India,2022-2022,3,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,3.0,0.0,3.0
Nurul Hasan ,Bangladesh,2016-2016,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,0.0,3.0,2.0
Mohammad Shahzad ,Afghanistan,2016-2016,3,3,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,1.0,2.0,2.0
Rahmanullah Gurbaz ,Afghanistan,2022-2022,5,5,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,3.0,0.0,2.0
BKG Mendis ,Sri Lanka,2022-2022,6,6,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,3.0,0.0,2.0
Mohammad Rizwan ,Pakistan,2022-2022,6,6,,,,,,,,,,,,Wicketkeeper,,,,,,,,,3.0,3.0,0.0,1.0
Sarfaraz Ahmed ,Pakistan,2016-2016,4,4,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,2.0,0.0,2.0
Mushfiqur Rahim ,Bangladesh,2016-2022,7,5,,,,,,,,,,,,Wicketkeeper,,,,,,,,,2.0,1.0,1.0,1.0
SS McKechnie ,Hong Kong,2022-2022,2,2,,,,,,,,,,,,Wicketkeeper,,,,,,,,,1.0,1.0,0.0,1.0
N Dickwella ,Sri Lanka,2016-2016,1,1,,,,,,,,,,,,Wicketkeeper,,,,,,,,,0.0,0.0,0.0,0.0
C Carter ,Hong Kong,2016-2016,3,3,,,,,,,,,,,,Wicketkeeper,,,,,,,,,0.0,0.0,0.0,0.0
RR Pant ,India,2022-2022,4,4,,,,,,,,,,,,Wicketkeeper,,,,,,,,,0.0,0.0,0.0,0.0
